,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.943426172765096,0.6618111111111111,0.5971851938989428,0.7887777777777778
2,0.577218856578403,0.7956666666666666,0.5390728049066331,0.8074222222222223
3,0.4892851701100667,0.8259111111111112,0.49060599597295124,0.8253888888888888
4,0.4289634551472134,0.8476222222222223,0.46848500017060174,0.8334333333333334
5,0.38170050786866083,0.8637555555555556,0.4538998425960541,0.8403111111111111
6,0.34108396586842005,0.8781222222222222,0.45384358330832586,0.8413666666666667
7,0.3082124794006348,0.8898222222222222,0.45046996405919393,0.8424888888888888
8,0.27170426592297026,0.9030888888888889,0.4570984783278571,0.8438333333333333
9,0.2458007391134898,0.9114222222222222,0.4553392471154531,0.8479
10,0.22589091129567887,0.9188888888888889,0.4615854995091756,0.8477777777777777
11,0.20711216541396246,0.9270666666666667,0.4719495452986823,0.8493777777777778
12,0.1932420092344284,0.9310777777777778,0.4722910271379683,0.8508666666666667
13,0.18592815407382118,0.9341111111111111,0.4724406959851583,0.8505333333333334
14,0.17814846890237596,0.9375444444444444,0.4761619916598002,0.8513111111111111
15,0.17615500402185652,0.9373777777777778,0.47652048455344304,0.8514555555555555
