,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.2377143994013469,0.5522666666666667,0.6652245435502794,0.7655777777777778
2,0.8324949167781406,0.7029111111111112,0.5933609956582387,0.7882888888888889
3,0.7474111737251282,0.7346,0.541024568854438,0.8070666666666667
4,0.6972885879940457,0.7521,0.5162982887585957,0.8155777777777777
5,0.6586050844722324,0.7650888888888889,0.49396177480485703,0.8228888888888889
6,0.6300332912233141,0.7752,0.4824044332080417,0.8274333333333334
7,0.6120149634891087,0.7816666666666666,0.4738405894067552,0.8303555555555555
8,0.5876969379954868,0.7915444444444445,0.45926359136369493,0.8351
9,0.5723598583645291,0.7970777777777778,0.44924742939737106,0.8402555555555555
10,0.5593575093269348,0.8006111111111112,0.4408700983259413,0.8424666666666667
11,0.5495675033993191,0.8034777777777777,0.44289145142237346,0.8413666666666667
12,0.5410023401048448,0.8067555555555556,0.4403405003759596,0.8438555555555556
13,0.5352350305133395,0.8095222222222223,0.43539335107803345,0.8446555555555556
14,0.5320757825056712,0.8111333333333334,0.4326617859840393,0.8454
15,0.5310783273908827,0.8117555555555556,0.43261928862465754,0.8457444444444444
