Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Seed,Augmentation,Model
1,1.2154906900617812,0.5607777777777778,0.6567858371416728,0.7678111111111111,1,True,PretrainedVGG16
2,0.8231641338984171,0.7064222222222222,0.5837396628273858,0.7928888888888889,1,True,PretrainedVGG16
3,0.7420988632202148,0.7358777777777777,0.5315713097042507,0.8086777777777778,1,True,PretrainedVGG16
4,0.6960820816993714,0.7528333333333334,0.5189302558369107,0.8141777777777778,1,True,PretrainedVGG16
5,0.6588491218884786,0.7646888888888889,0.5006184289614359,0.8208444444444445,1,True,PretrainedVGG16
6,0.6356369662072924,0.7738,0.4763615875350104,0.8296,1,True,PretrainedVGG16
7,0.6069685165935093,0.7829777777777778,0.4715609711752997,0.8314777777777778,1,True,PretrainedVGG16
8,0.5910016335699293,0.7900111111111111,0.4563193164825439,0.8372222222222222,1,True,PretrainedVGG16
9,0.5699759160571628,0.7968333333333333,0.4499102137459649,0.8387555555555556,1,True,PretrainedVGG16
10,0.559632660182317,0.8006111111111112,0.4452631024042765,0.8397333333333333,1,True,PretrainedVGG16
11,0.5491325614187452,0.8046333333333333,0.4383233747482299,0.8433666666666667,1,True,PretrainedVGG16
12,0.5415852396117317,0.8066111111111111,0.4349968531820509,0.8447666666666667,1,True,PretrainedVGG16
13,0.5354524527337816,0.8085333333333333,0.4327112959543864,0.8450333333333333,1,True,PretrainedVGG16
14,0.5312094871309069,0.8108777777777778,0.4295520594490899,0.8460111111111112,1,True,PretrainedVGG16
15,0.5316995441436767,0.8097,0.4310389975123935,0.8459888888888889,1,True,PretrainedVGG16
1,1.2397804061783684,0.5512,0.6548614501211378,0.7664555555555556,4,True,PretrainedVGG16
2,0.8304017333454556,0.7038666666666666,0.588783825662401,0.7905888888888889,4,True,PretrainedVGG16
3,0.7470503111097547,0.7348333333333333,0.5416053743574354,0.8063666666666667,4,True,PretrainedVGG16
4,0.7021565017912123,0.7490333333333333,0.5266080845938789,0.8140777777777778,4,True,PretrainedVGG16
5,0.6595844854990641,0.7656555555555555,0.4956372288280063,0.8234111111111111,4,True,PretrainedVGG16
6,0.6305390657424926,0.7739666666666667,0.4759047718260023,0.8307777777777777,4,True,PretrainedVGG16
7,0.6099744519021776,0.7827111111111111,0.4703891619099511,0.8328444444444445,4,True,PretrainedVGG16
8,0.5877635885980395,0.7903333333333333,0.4633747679074605,0.8343,4,True,PretrainedVGG16
9,0.5718153868251377,0.7969777777777778,0.4550442226727803,0.8379333333333333,4,True,PretrainedVGG16
10,0.5594308398140801,0.8009111111111111,0.4405027667469448,0.8430666666666666,4,True,PretrainedVGG16
11,0.549914749124315,0.8042888888888889,0.434825990041097,0.8454333333333334,4,True,PretrainedVGG16
12,0.5413464434623718,0.8078444444444445,0.4372617582639058,0.8436777777777777,4,True,PretrainedVGG16
13,0.5348283589469062,0.8093888888888889,0.4325219356060028,0.8456333333333333,4,True,PretrainedVGG16
14,0.5293087782753838,0.8108111111111111,0.432304718404346,0.8465333333333334,4,True,PretrainedVGG16
15,0.5297266714096069,0.8108222222222222,0.4312330735206604,0.8461777777777778,4,True,PretrainedVGG16
1,1.2143309592670866,0.5605888888888889,0.6807212672657437,0.7604111111111111,2,True,PretrainedVGG16
2,0.8261184598180983,0.7062555555555555,0.5751503261884053,0.7946888888888889,2,True,PretrainedVGG16
3,0.7450441953765021,0.7345777777777778,0.5476940784454346,0.8053222222222223,2,True,PretrainedVGG16
4,0.6937430647426182,0.7523777777777778,0.5122396858109368,0.8181777777777778,2,True,PretrainedVGG16
5,0.6599918987909953,0.7650222222222223,0.4885968212127685,0.8253444444444444,2,True,PretrainedVGG16
6,0.6291515433735317,0.7760444444444444,0.483370162179735,0.8267444444444444,2,True,PretrainedVGG16
7,0.6067196786880493,0.7831111111111111,0.4612145316229926,0.8345,2,True,PretrainedVGG16
8,0.5895103150155809,0.7899333333333334,0.4525592082765367,0.8378555555555556,2,True,PretrainedVGG16
9,0.5731451811366611,0.7952888888888889,0.4494541490766737,0.8383222222222222,2,True,PretrainedVGG16
10,0.5593984214464823,0.8009,0.4422308362007141,0.8415666666666667,2,True,PretrainedVGG16
11,0.5474377230856153,0.8055888888888889,0.4371238048023648,0.8436222222222223,2,True,PretrainedVGG16
12,0.5377125999874539,0.8078333333333333,0.4340808188756307,0.8451,2,True,PretrainedVGG16
13,0.5337956518279181,0.8098333333333333,0.432512304411994,0.8450777777777778,2,True,PretrainedVGG16
14,0.5319841584205628,0.8090111111111111,0.4321988909933302,0.8454111111111111,2,True,PretrainedVGG16
15,0.5253200583722857,0.8140444444444445,0.4317028473377228,0.8454888888888888,2,True,PretrainedVGG16
1,1.225180825328827,0.5575555555555556,0.661198064189487,0.7663777777777778,5,True,PretrainedVGG16
2,0.8245963276757134,0.7065888888888889,0.5982875845167372,0.7868,5,True,PretrainedVGG16
3,0.7442259085655213,0.7359222222222223,0.5460104529062907,0.8042444444444444,5,True,PretrainedVGG16
4,0.6936269692209032,0.7537222222222222,0.5186873766051399,0.8149444444444445,5,True,PretrainedVGG16
5,0.6566392322222392,0.7660888888888889,0.4906728216701084,0.8243222222222222,5,True,PretrainedVGG16
6,0.6279533262782626,0.7765,0.4768633559650845,0.8277111111111111,5,True,PretrainedVGG16
7,0.6070734746615092,0.7846111111111111,0.4621554879983266,0.8348555555555556,5,True,PretrainedVGG16
8,0.5897594852871365,0.7896666666666666,0.4583545712788899,0.8363666666666667,5,True,PretrainedVGG16
9,0.5706102299160427,0.7951333333333334,0.4501804990132649,0.8396666666666667,5,True,PretrainedVGG16
10,0.5640665285110473,0.7995222222222222,0.443771057706409,0.8422,5,True,PretrainedVGG16
11,0.5485348418871562,0.8037777777777778,0.4397500500202179,0.8430777777777778,5,True,PretrainedVGG16
12,0.5444560024473403,0.8062888888888889,0.4358409014013078,0.8448333333333333,5,True,PretrainedVGG16
13,0.5363292868296305,0.8084888888888889,0.4321565242926279,0.8463444444444445,5,True,PretrainedVGG16
14,0.5333013565911187,0.8103555555555556,0.4298832169002957,0.8472333333333333,5,True,PretrainedVGG16
15,0.530156229575475,0.8109111111111111,0.429988329050276,0.8469555555555556,5,True,PretrainedVGG16
1,1.2377143994013469,0.5522666666666667,0.6652245435502794,0.7655777777777778,3,True,PretrainedVGG16
2,0.8324949167781406,0.7029111111111112,0.5933609956582387,0.7882888888888889,3,True,PretrainedVGG16
3,0.7474111737251282,0.7346,0.541024568854438,0.8070666666666667,3,True,PretrainedVGG16
4,0.6972885879940457,0.7521,0.5162982887585957,0.8155777777777777,3,True,PretrainedVGG16
5,0.6586050844722324,0.7650888888888889,0.493961774804857,0.8228888888888889,3,True,PretrainedVGG16
6,0.6300332912233141,0.7752,0.4824044332080417,0.8274333333333334,3,True,PretrainedVGG16
7,0.6120149634891087,0.7816666666666666,0.4738405894067552,0.8303555555555555,3,True,PretrainedVGG16
8,0.5876969379954868,0.7915444444444445,0.4592635913636949,0.8351,3,True,PretrainedVGG16
9,0.5723598583645291,0.7970777777777778,0.449247429397371,0.8402555555555555,3,True,PretrainedVGG16
10,0.5593575093269348,0.8006111111111112,0.4408700983259413,0.8424666666666667,3,True,PretrainedVGG16
11,0.5495675033993191,0.8034777777777777,0.4428914514223734,0.8413666666666667,3,True,PretrainedVGG16
12,0.5410023401048448,0.8067555555555556,0.4403405003759596,0.8438555555555556,3,True,PretrainedVGG16
13,0.5352350305133395,0.8095222222222223,0.4353933510780334,0.8446555555555556,3,True,PretrainedVGG16
14,0.5320757825056712,0.8111333333333334,0.4326617859840393,0.8454,3,True,PretrainedVGG16
15,0.5310783273908827,0.8117555555555556,0.4326192886246575,0.8457444444444444,3,True,PretrainedVGG16
