,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.9771063573095533,0.6701333333333334,0.6460428991317749,0.7726333333333333
2,0.5362806246757508,0.8114555555555556,0.5055644883155823,0.8201444444444445
3,0.44151539951960245,0.8464333333333334,0.4584762039820353,0.8367888888888889
4,0.38320890704260935,0.8667555555555555,0.43629515053431195,0.8445888888888888
5,0.33797647039095563,0.8838888888888888,0.42058388551076253,0.8512333333333333
6,0.3017869429853227,0.8972888888888889,0.4115327567206489,0.8547333333333333
7,0.2682716463857227,0.9099444444444444,0.40707224213282267,0.8573444444444445
8,0.24344607320626577,0.9193,0.4063089198960198,0.8586555555555555
9,0.22216983307202656,0.9281888888888888,0.40654341265360516,0.8589111111111111
10,0.2036140237569809,0.9350666666666667,0.4067494614495171,0.8593
11,0.1914213202185101,0.9403222222222222,0.40804044203228423,0.8600111111111111
12,0.18136214452319674,0.9450666666666667,0.40958797867033214,0.8601222222222222
13,0.17524658511479696,0.9468111111111112,0.41073621887630885,0.8596111111111111
14,0.17266647458341386,0.9480555555555555,0.410461329015096,0.8599666666666667
15,0.17009706786208684,0.9494444444444444,0.41039891249868604,0.8597111111111111
