Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Seed,Augmentation,Model
1,0.9771063573095532,0.6701333333333334,0.6460428991317749,0.7726333333333333,4,False,PretrainedResNet
2,0.5362806246757508,0.8114555555555556,0.5055644883155823,0.8201444444444445,4,False,PretrainedResNet
3,0.4415153995196024,0.8464333333333334,0.4584762039820353,0.8367888888888889,4,False,PretrainedResNet
4,0.3832089070426093,0.8667555555555555,0.4362951505343119,0.8445888888888888,4,False,PretrainedResNet
5,0.3379764703909556,0.8838888888888888,0.4205838855107625,0.8512333333333333,4,False,PretrainedResNet
6,0.3017869429853227,0.8972888888888889,0.4115327567206489,0.8547333333333333,4,False,PretrainedResNet
7,0.2682716463857227,0.9099444444444444,0.4070722421328226,0.8573444444444445,4,False,PretrainedResNet
8,0.2434460732062657,0.9193,0.4063089198960198,0.8586555555555555,4,False,PretrainedResNet
9,0.2221698330720265,0.9281888888888888,0.4065434126536051,0.8589111111111111,4,False,PretrainedResNet
10,0.2036140237569809,0.9350666666666668,0.4067494614495171,0.8593,4,False,PretrainedResNet
11,0.1914213202185101,0.9403222222222222,0.4080404420322842,0.8600111111111111,4,False,PretrainedResNet
12,0.1813621445231967,0.9450666666666668,0.4095879786703321,0.8601222222222222,4,False,PretrainedResNet
13,0.1752465851147969,0.9468111111111112,0.4107362188763088,0.8596111111111111,4,False,PretrainedResNet
14,0.1726664745834138,0.9480555555555557,0.410461329015096,0.8599666666666667,4,False,PretrainedResNet
15,0.1700970678620868,0.9494444444444444,0.410398912498686,0.8597111111111111,4,False,PretrainedResNet
1,0.9648683834711712,0.6737555555555556,0.619047369172838,0.7827111111111111,2,False,PretrainedResNet
2,0.5321820039113363,0.8144111111111111,0.5001111374749078,0.8227555555555556,2,False,PretrainedResNet
3,0.4377216892242431,0.8471888888888889,0.4595033762349023,0.8363555555555555,2,False,PretrainedResNet
4,0.3798134062184228,0.8671666666666666,0.4332184609148237,0.8460333333333333,2,False,PretrainedResNet
5,0.3344202590147654,0.8841111111111111,0.4257678840531243,0.8485777777777778,2,False,PretrainedResNet
6,0.2973364203823937,0.8972777777777777,0.4126239399909973,0.8539111111111111,2,False,PretrainedResNet
7,0.2660996848689185,0.9101222222222224,0.4146847529358334,0.8534777777777778,2,False,PretrainedResNet
8,0.2383679918289184,0.9216222222222222,0.4073921553876665,0.8578333333333333,2,False,PretrainedResNet
9,0.2165736742284562,0.9299888888888888,0.4065645625856187,0.8583111111111111,2,False,PretrainedResNet
10,0.1994556517071194,0.9377333333333332,0.4070542234897613,0.8592,2,False,PretrainedResNet
11,0.186929875254631,0.9432666666666668,0.4091499519877963,0.8599555555555556,2,False,PretrainedResNet
12,0.1770383485714594,0.9469888888888888,0.4094761073430379,0.8597222222222223,2,False,PretrainedResNet
13,0.1705959989998075,0.9491555555555556,0.410152370097902,0.8598888888888889,2,False,PretrainedResNet
14,0.1669613840023676,0.9510888888888888,0.4104015571594238,0.8601111111111112,2,False,PretrainedResNet
15,0.1655831520557403,0.9515666666666668,0.4102345500681135,0.8597444444444444,2,False,PretrainedResNet
1,0.9721517530123392,0.6705666666666666,0.6030793225712247,0.7893666666666667,5,False,PretrainedResNet
2,0.5312985531277127,0.8162555555555555,0.5021799969143338,0.8225111111111111,5,False,PretrainedResNet
3,0.4388549814542135,0.8480666666666666,0.4565748943593767,0.8374777777777778,5,False,PretrainedResNet
4,0.3796258392863803,0.8682222222222222,0.434213543372684,0.8453222222222222,5,False,PretrainedResNet
5,0.3343521077156067,0.8851555555555556,0.4286276311026679,0.8479444444444444,5,False,PretrainedResNet
6,0.2960152924272749,0.8996222222222222,0.4140063966221279,0.8536555555555555,5,False,PretrainedResNet
7,0.2662334967772166,0.9107666666666666,0.4082738909509447,0.8574111111111111,5,False,PretrainedResNet
8,0.2394101912869347,0.9213333333333332,0.4074611507680681,0.8579444444444444,5,False,PretrainedResNet
9,0.2182934681521521,0.9296444444444444,0.4063838186740875,0.8591111111111112,5,False,PretrainedResNet
10,0.201180185370975,0.9377444444444444,0.4081317093955146,0.859,5,False,PretrainedResNet
11,0.1877397766484154,0.9434111111111112,0.4081247052616543,0.8592,5,False,PretrainedResNet
12,0.1785741542074415,0.9460666666666666,0.4099325437598758,0.8592333333333333,5,False,PretrainedResNet
13,0.1718616549372673,0.9494666666666668,0.4099578116310967,0.8597888888888889,5,False,PretrainedResNet
14,0.1686767410092883,0.9510111111111113,0.4111922805256314,0.8594444444444445,5,False,PretrainedResNet
15,0.166715491578314,0.9518222222222222,0.4107097539054022,0.8597777777777778,5,False,PretrainedResNet
1,0.9664391210132176,0.6758,0.6067688582208421,0.7879,1,False,PretrainedResNet
2,0.527538172727161,0.8168777777777778,0.5096113127602471,0.8180222222222222,1,False,PretrainedResNet
3,0.4368693128003014,0.8479111111111111,0.4558555019908481,0.8376777777777777,1,False,PretrainedResNet
4,0.3783157510174645,0.8687888888888889,0.4407622703764173,0.8425666666666667,1,False,PretrainedResNet
5,0.3328119663715362,0.8850222222222223,0.416958623652988,0.8519666666666666,1,False,PretrainedResNet
6,0.293737958600786,0.8993444444444444,0.4106887271987067,0.8548,1,False,PretrainedResNet
7,0.2620044354809655,0.9121555555555556,0.408183452712165,0.8568111111111111,1,False,PretrainedResNet
8,0.236827992190255,0.9225666666666666,0.4069096677356296,0.8579222222222223,1,False,PretrainedResNet
9,0.2141808749463823,0.9313555555555556,0.4066772977193196,0.8587666666666667,1,False,PretrainedResNet
10,0.1971067379448149,0.9380111111111112,0.4096111857626173,0.8589111111111111,1,False,PretrainedResNet
11,0.1837506918271382,0.9441555555555556,0.4107124077267117,0.8594777777777778,1,False,PretrainedResNet
12,0.1746911052862803,0.9475888888888888,0.4124174213939243,0.8595555555555555,1,False,PretrainedResNet
13,0.1682156663788689,0.9502222222222222,0.4122648377736409,0.8596333333333334,1,False,PretrainedResNet
14,0.1639187395837572,0.9524111111111112,0.4132697662141588,0.8597333333333333,1,False,PretrainedResNet
15,0.162901255610254,0.9522111111111112,0.4132642839166853,0.8594222222222222,1,False,PretrainedResNet
1,1.0055340369224548,0.6591333333333333,0.61527461098565,0.7860555555555555,3,False,PretrainedResNet
2,0.5402106611463758,0.8126333333333333,0.5018788007736206,0.8211555555555555,3,False,PretrainedResNet
3,0.4446181824631161,0.8442555555555555,0.4680539832539028,0.8322111111111111,3,False,PretrainedResNet
4,0.3853452554490831,0.8661111111111112,0.4403614352173275,0.8428777777777777,3,False,PretrainedResNet
5,0.3411742104954189,0.8824888888888889,0.423409669748942,0.8485777777777778,3,False,PretrainedResNet
6,0.3030427686691284,0.8975222222222222,0.4145939683702257,0.8529888888888889,3,False,PretrainedResNet
7,0.2699560626771715,0.9089333333333334,0.4100283249855042,0.8557555555555556,3,False,PretrainedResNet
8,0.243792134698232,0.9199888888888887,0.4122869631237454,0.8554,3,False,PretrainedResNet
9,0.2225242894172668,0.9278555555555555,0.4093233886824713,0.8570666666666666,3,False,PretrainedResNet
10,0.2050532438437144,0.9349777777777778,0.4098576805114746,0.8584,3,False,PretrainedResNet
