Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy,Seed,Augmentation,Model
1,1.798664486948649,0.3199111111111111,1.5487103918287488,0.4296333333333333,5,True,ResNetBasedModelFor32x32Images
2,1.4701645350350274,0.4552222222222222,1.3022478132459852,0.5221333333333333,5,True,ResNetBasedModelFor32x32Images
3,1.297520312584771,0.525,1.1497282183117337,0.5845666666666667,5,True,ResNetBasedModelFor32x32Images
4,1.1865671909544202,0.5697222222222222,1.0908707356558909,0.6150111111111111,5,True,ResNetBasedModelFor32x32Images
5,1.1053138095749748,0.6000333333333333,1.1077290013737149,0.6088444444444444,5,True,ResNetBasedModelFor32x32Images
6,1.0536370812310112,0.6204444444444445,1.0245009167671204,0.6390666666666667,5,True,ResNetBasedModelFor32x32Images
7,1.0076817469914754,0.6406666666666667,1.002755030377706,0.6513888888888889,5,True,ResNetBasedModelFor32x32Images
8,0.9677892408159045,0.6537222222222222,0.9971961816681756,0.6522555555555556,5,True,ResNetBasedModelFor32x32Images
9,0.9374767164230348,0.6646,0.9287113473892212,0.6689222222222222,5,True,ResNetBasedModelFor32x32Images
10,0.91760037911733,0.6719222222222222,0.8858140379163953,0.6847777777777778,5,True,ResNetBasedModelFor32x32Images
11,0.8896204853905572,0.6817444444444445,0.8864676285637749,0.6890555555555555,5,True,ResNetBasedModelFor32x32Images
12,0.8694545328246223,0.6882111111111111,0.8559831818050808,0.6979,5,True,ResNetBasedModelFor32x32Images
13,0.8521558644188775,0.6956333333333333,0.8374231677691142,0.7041,5,True,ResNetBasedModelFor32x32Images
14,0.8289511833720737,0.7051111111111111,0.8833077269024319,0.6920666666666667,5,True,ResNetBasedModelFor32x32Images
15,0.8105882682694329,0.7096222222222223,0.8558874878406525,0.7007111111111111,5,True,ResNetBasedModelFor32x32Images
16,0.7937422189606561,0.7155777777777778,0.8062410631815592,0.7171888888888889,5,True,ResNetBasedModelFor32x32Images
17,0.7818949436399671,0.7208777777777777,0.7841777542432149,0.7240555555555556,5,True,ResNetBasedModelFor32x32Images
18,0.7606472429487441,0.7291888888888889,0.7664137343724569,0.7287222222222223,5,True,ResNetBasedModelFor32x32Images
19,0.7449272746721903,0.7342,0.7793944616423713,0.7290555555555556,5,True,ResNetBasedModelFor32x32Images
20,0.7293412901242574,0.7394444444444445,0.7306769505076938,0.7432111111111112,5,True,ResNetBasedModelFor32x32Images
21,0.7160580135557386,0.7449888888888889,0.7673751468976339,0.7348555555555556,5,True,ResNetBasedModelFor32x32Images
22,0.7006680118878682,0.7489222222222223,0.7287855868869357,0.7418444444444444,5,True,ResNetBasedModelFor32x32Images
23,0.6891163570404053,0.7540111111111111,0.6946957152048747,0.7570111111111111,5,True,ResNetBasedModelFor32x32Images
24,0.6791718687481351,0.7586333333333334,0.6918390657742818,0.7586777777777778,5,True,ResNetBasedModelFor32x32Images
25,0.6649232062021891,0.7625,0.6698621214018927,0.7662,5,True,ResNetBasedModelFor32x32Images
26,0.6565506105105082,0.7659888888888889,0.6706983655929566,0.7648222222222222,5,True,ResNetBasedModelFor32x32Images
27,0.6475907414224412,0.7696777777777778,0.6608058382458157,0.7677333333333334,5,True,ResNetBasedModelFor32x32Images
28,0.6438743921703762,0.7714111111111112,0.6599488263024225,0.7687666666666667,5,True,ResNetBasedModelFor32x32Images
29,0.6382001086235046,0.7720777777777778,0.6596237240155538,0.7679333333333334,5,True,ResNetBasedModelFor32x32Images
30,0.6383226836840312,0.7725333333333333,0.6575624501546224,0.7690666666666667,5,True,ResNetBasedModelFor32x32Images
1,1.8037006592856517,0.3152666666666666,1.5533337894439698,0.4165444444444444,4,True,ResNetBasedModelFor32x32Images
2,1.480300184864468,0.4513777777777777,1.3524465635935463,0.5049,4,True,ResNetBasedModelFor32x32Images
3,1.308212885093689,0.5201666666666667,1.3919082072787814,0.4918555555555555,4,True,ResNetBasedModelFor32x32Images
4,1.1950275157292685,0.5664555555555556,1.3600252614974977,0.5405444444444445,4,True,ResNetBasedModelFor32x32Images
5,1.1225690966500177,0.5925888888888889,1.274279747390747,0.5579111111111111,4,True,ResNetBasedModelFor32x32Images
6,1.066219745042589,0.6163111111111111,0.9808893013742236,0.6526666666666666,4,True,ResNetBasedModelFor32x32Images
7,1.020869557571411,0.6317111111111111,1.0365688890563116,0.6303222222222222,4,True,ResNetBasedModelFor32x32Images
8,0.9843202216042412,0.6449111111111111,1.0094262653562758,0.6493333333333333,4,True,ResNetBasedModelFor32x32Images
9,0.955868952009413,0.6588555555555555,0.9703819299697876,0.6591888888888889,4,True,ResNetBasedModelFor32x32Images
10,0.9240977612919278,0.6701222222222222,0.963278928565979,0.6669111111111111,4,True,ResNetBasedModelFor32x32Images
11,0.8969506160948012,0.6778333333333333,0.8609215130700005,0.6947222222222222,4,True,ResNetBasedModelFor32x32Images
12,0.8764785097863939,0.6878777777777778,0.8784081687927247,0.6900444444444445,4,True,ResNetBasedModelFor32x32Images
13,0.859252665371365,0.6917444444444445,0.8417901716762118,0.7022444444444444,4,True,ResNetBasedModelFor32x32Images
14,0.8390937256071302,0.7011888888888889,0.8464033914142185,0.7005444444444444,4,True,ResNetBasedModelFor32x32Images
15,0.8203100344975789,0.7062444444444445,0.8651770987722609,0.7004111111111111,4,True,ResNetBasedModelFor32x32Images
16,0.8039360106362237,0.7124555555555555,0.8395602781931559,0.7057111111111111,4,True,ResNetBasedModelFor32x32Images
17,0.7871192983415392,0.7187111111111111,0.8357838080088298,0.7118888888888889,4,True,ResNetBasedModelFor32x32Images
18,0.7724171585506863,0.7261666666666666,0.7892653861151802,0.7267888888888889,4,True,ResNetBasedModelFor32x32Images
19,0.7544472294913398,0.7311333333333333,0.7509763710445828,0.7349555555555556,4,True,ResNetBasedModelFor32x32Images
20,0.7409324294408163,0.7347666666666667,0.7423008112483555,0.7378777777777777,4,True,ResNetBasedModelFor32x32Images
21,0.7228278136253357,0.7412111111111112,0.7236478330400254,0.7455,4,True,ResNetBasedModelFor32x32Images
22,0.7147302208370633,0.7442,0.739701211590237,0.7412444444444445,4,True,ResNetBasedModelFor32x32Images
23,0.7001835934850905,0.7486,0.7095523321681553,0.7525222222222222,4,True,ResNetBasedModelFor32x32Images
24,0.6855846855693394,0.7555555555555555,0.6937230141957601,0.7561,4,True,ResNetBasedModelFor32x32Images
25,0.6724518791622586,0.7598666666666667,0.698128683174981,0.7570777777777777,4,True,ResNetBasedModelFor32x32Images
26,0.663831965637207,0.7635,0.6828088505850898,0.7605666666666666,4,True,ResNetBasedModelFor32x32Images
27,0.6562949743800693,0.7661111111111111,0.6815700187047322,0.7621444444444444,4,True,ResNetBasedModelFor32x32Images
28,0.6509832480218676,0.7671,0.6750426240179274,0.7641222222222223,4,True,ResNetBasedModelFor32x32Images
