,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.2718245293723212,0.5528111111111111,0.725001317246755,0.7434888888888889
2,0.7770956352127922,0.7263777777777778,0.5599918218294779,0.7987444444444445
3,0.6664407505883111,0.7646555555555555,0.5066742155287001,0.8179666666666666
4,0.6141558386908638,0.7815111111111112,0.4812761269675361,0.8275666666666667
5,0.571965006351471,0.7970555555555555,0.4445062804328071,0.8414555555555555
6,0.5433314016660055,0.8082777777777778,0.4324021442731221,0.8456222222222223
7,0.5223720674090915,0.8145111111111111,0.4158335924890306,0.8516555555555556
8,0.5040661302195655,0.8203,0.4069652850151062,0.8550888888888889
9,0.4871587785932753,0.8267222222222222,0.3987101466867659,0.8577444444444444
10,0.4759476308398777,0.8309777777777778,0.39219176336924233,0.8601666666666666
11,0.46439155122968884,0.8353888888888888,0.388812303908666,0.8609222222222223
12,0.4551773241996765,0.8383777777777778,0.3842721762869093,0.8627111111111111
13,0.4498200147628784,0.8386555555555556,0.3799178614245521,0.8643333333333333
14,0.4451312773704529,0.8425555555555555,0.37549317648145886,0.8652888888888889
15,0.43653573338720536,0.8452555555555555,0.3734986353026496,0.8663333333333333
16,0.43674682065116033,0.8442111111111111,0.37618229637675815,0.8661
17,0.4321108813868629,0.8469,0.3729002255068885,0.8677444444444444
18,0.4287176019509633,0.8471333333333333,0.3731048345141941,0.8673888888888889
19,0.42919665774769256,0.8478555555555556,0.3715932330290476,0.8680555555555556
20,0.42829942469067045,0.8476777777777778,0.37241830931769476,0.8678888888888889
